Station ID,seg ID,Station name,up,X,Y
05AA004,71041096,test,0,-113.948,49.4864
05AE002,71039916,test,0,-113.297,49.1997
05AH005,71034342,test,0,-110.684,50.0237
05AJ001,71033569,test,0,-110.678,50.0421
05BE004,71028039,test,0,-115.033,51.1194
05BE007,71028140,test,0,-115.374,51.0889
05BH004,71027942,test,0,-114.051,51.0503
05BL004,71034975,test,0,-113.869,50.5856
05BL014,71035188,test,0,-114.245,50.6885
05BL015,71034975,test,0,-113.87,50.5831
05CC001,71022735,test,0,-113.795,52.357
05CC002,71022153,test,0,-113.823,52.2705
05DF001,71016411,test,0,-113.485,53.5372
05FA001,71022189,test,0,-113.581,52.6632
Tobin_Lake,71016285,Tobin Lake,0,-104.1873,53.3
08JC001,78003916,test,0,-124.009,54.0267
08JE001,78004014,test,1,-124.271,54.4169
08KB001,78005196,test,0,-122.625,54.0037
08KC001,78004184,test,0,-122.68,54.0964
08KE016,78006845,test,0,-122.509,52.9739
08LA001,78008449,test,0,-120.066,51.6557
08LB020,78008666,test,0,-120.127,51.188
08LB047,78008460,test,0,-119.914,51.6019
08LB064,78008432,test,0,-120.24,51.0409
08LC002,78010371,test,0,-119.013,50.5437
08LC003,78010419,test,0,-118.819,50.3028
08LC039,78010513,test,0,-118.859,50.2979
08LC040,78010891,test,0,-118.947,50.2843
08LC042,78010528,test,0,-118.961,50.2525
08LE020,78010417,test,1,-119.559,50.4986
08LE021,78010393,test,0,-119.331,50.6925
08LE024,78010168,test,0,-118.802,50.9363
08LE027,78008702,test,1,-118.946,51.2622
08LE031,78010111,test,0,-119.743,50.7631
08LF002,78010259,test,1,-121.323,50.803
08LF002,78010037,test,0,-121.323,50.803
