           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,              1,   55.74915    ,   45.55197    ,  0.1749789    ,   238.0375    ,   294.6721    ,  -4.667542    ,   35.66077    ,   17.69329    ,  -64.60223    ,  -8.483490    ,  -6.720947    ,   7.416194    ,  -7.215515    ,   0.000000    , -0.3997803E-02,   1.698395    ,  0.9761658    ,  0.2171321E-02,   1.046028    ,   80555.58    ,
           1980,              2,   38.14185    ,   30.80081    ,  0.1821372    ,   224.7195    ,   278.6820    ,  -8.420380    ,   26.64950    ,   6.747820    ,  -55.73422    ,  -10.86105    ,  -9.758179    ,   7.438839    ,  -8.655243    ,   0.000000    , -0.8640747    ,   1.476685    ,  0.9820862    ,  0.1800902E-02,   1.027820    ,   80447.55    ,
           1980,              3,   46.96201    ,   36.82301    ,  0.2067741    ,   206.7918    ,   258.4686    ,  -13.42520    ,   11.13289    ,   1.128651    ,  -26.11885    ,  -11.44965    ,  -13.83289    ,   7.428852    ,  -10.22351    ,   0.000000    ,  -3.031128    ,   1.539032    ,  0.9888916    ,  0.1629640E-02,   1.130033    ,   79990.01    ,
           1980,              4,   43.82149    ,   34.22848    ,  0.2092254    ,   206.2294    ,   250.1235    ,  -15.55469    ,   14.10397    ,  0.7685933    ,  -24.83209    ,  -15.17392    ,  -16.43945    ,   7.473054    ,  -11.47891    ,   0.000000    ,  -4.685059    ,  0.9095459    ,  0.9958801    ,  0.1233205E-02,   1.025871    ,   80123.12    ,
           1980,              5,   29.95322    ,   22.53087    ,  0.2383807    ,   210.0083    ,   237.5936    ,  -18.77713    ,   19.43533    ,   1.736751    ,  -24.64751    ,  -20.44180    ,  -19.70674    ,   7.521100    ,  -13.55975    ,   0.000000    ,  -5.659363    ,  0.3289185    ,  0.9965820    ,  0.6983772E-03,   1.510172    ,   79963.85    ,
           1980,              6,   43.85399    ,   32.78926    ,  0.2423464    ,   167.6253    ,   214.5162    ,  -25.39464    ,   15.20832    ,   1.022903    ,  -31.40351    ,  -24.81468    ,  -25.99643    ,   7.584583    ,  -18.13658    ,   0.000000    ,  -8.317749    ,  0.2401733E-01,  0.9945068    ,  0.4880920E-03,   1.005452    ,   80219.75    ,
           1980,              7,   36.45253    ,   27.08455    ,  0.2474935    ,   199.9828    ,   227.4688    ,  -21.52687    ,   25.07928    ,   1.895889    ,  -27.49772    ,  -24.11209    ,  -22.72725    ,   7.555751    ,  -14.93073    ,   0.000000    ,  -7.075867    , -0.7034302E-01,  0.9927368    ,  0.4927858E-03,   1.088827    ,   79795.70    ,
           1980,              8,   38.16867    ,   27.78090    ,  0.2635889    ,   175.0974    ,   210.5376    ,  -26.32607    ,   26.01163    ,   1.464045    ,  -33.67374    ,  -29.03755    ,  -27.54630    ,   7.618273    ,  -16.95648    ,   0.000000    ,  -8.241150    , -0.8258057E-01,  0.9894104    ,  0.2852040E-03,   1.046945    ,   79910.27    ,
           1980,              9,   50.49987    ,   36.80212    ,  0.2633097    ,   162.9348    ,   207.6973    ,  -27.23521    ,   25.38590    ,   1.130423    ,  -34.97451    ,  -29.38863    ,  -28.07811    ,   7.568559    ,  -18.56889    ,   0.000000    ,  -8.878143    , -0.2041626    ,  0.9876709    ,  0.3175882E-03,  0.9970150    ,   78560.20    ,
           1980,             10,   37.46778    ,   26.15716    ,  0.2949298    ,   173.0258    ,   207.9086    ,  -27.14384    ,   23.77190    ,   1.426292    ,  -33.25224    ,  -28.90752    ,  -27.99411    ,   7.530449    ,  -18.23683    ,   0.000000    ,  -8.848145    , -0.8839417    ,  0.9821777    ,  0.3277844E-03,   1.078227    ,   77964.27    ,
