           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,              1,  0.1078254    ,  0.4624431    ,   57.08932    ,  0.5396985E-03,   57.08358    ,  0.5206718E-02,  -52.32306    ,  0.1078254    ,  0.4624431    ,   57.08932    ,  0.5396985E-03,   57.08358    ,  0.5206718E-02,  0.2550849E-01,  0.1894466E-05,  0.9872476E-03,   0.000000    ,   0.000000    ,   17.88310    ,   4.326685    ,   22.20979    ,   61.07917    ,  0.8871836E-04,   61.07926    ,   457.6554    ,   0.000000    ,   457.6554    ,   536.6177    ,   4.326774    ,   540.9445    ,   4.106509    ,   0.000000    ,   545.0775    ,  -52.32306    ,
           1980,              2,  0.4974597    ,  0.6899773    ,   58.94530    ,  0.1590656E-01,   58.90250    ,  0.2689271E-01,  -58.02509    ,  0.3896342    ,  0.2275342    ,   1.855979    ,  0.1536686E-01,   1.818927    ,  0.2168600E-01,  0.1037424    ,  0.9380067E-05,  0.6804223E-01,   0.000000    ,   0.000000    ,   7.445730    ,   18.12765    ,   25.57338    ,   57.05280    ,  0.3221785    ,   57.37497    ,   443.0872    ,   0.000000    ,   443.0872    ,   507.5858    ,   18.44983    ,   526.0356    ,   9.129543    ,   0.000000    ,   535.3369    ,  -9.740601    ,
           1980,              3,   1.345154    ,  0.7342353    ,   58.98603    ,  0.1969084E-01,   58.90250    ,  0.6383428E-01,  -59.36243    ,  0.8476943    ,  0.4425792E-01,  0.4072585E-01,  0.3784281E-02,   0.000000    ,  0.3694157E-01,  0.4074283    ,  0.1018504E-04,  0.6700576    ,   0.000000    ,   0.000000    ,   4.434088    ,   24.29356    ,   28.72765    ,   52.45772    ,   2.295463    ,   54.75318    ,   437.7024    ,   0.000000    ,   437.7024    ,   494.5942    ,   26.58903    ,   521.1832    ,   13.49247    ,   0.000000    ,   535.7532    ,  0.4163818    ,
           1980,              4,   1.608917    ,  0.7545181    ,   59.03927    ,  0.2273962E-01,   58.90250    ,  0.1140235    ,  -59.96405    ,  0.2637636    ,  0.2028269E-01,  0.5323794E-01,  0.3048780E-02,   0.000000    ,  0.5018916E-01,  0.4437902    ,   0.000000    ,  0.8912845    ,   0.000000    ,   0.000000    ,   3.970405    ,   25.96464    ,   29.93505    ,   45.90342    ,   8.488842    ,   54.39227    ,   433.2336    ,   0.000000    ,   433.2336    ,   483.1075    ,   34.45348    ,   517.5610    ,   16.91104    ,   0.000000    ,   535.8071    ,  0.5383301E-01,
           1980,              5,   2.215259    ,  0.7843521    ,   59.11312    ,  0.3492315E-01,   58.90250    ,  0.1756774    ,  -60.25763    ,  0.6063415    ,  0.2983399E-01,  0.7383750E-01,  0.1218353E-01,   0.000000    ,  0.6165397E-01,  0.5841445    ,   0.000000    ,   1.180179    ,   0.000000    ,   0.000000    ,   3.962204    ,   26.73302    ,   30.69523    ,   39.67469    ,   15.05651    ,   54.73120    ,   429.1676    ,   0.000000    ,   429.1676    ,   472.8045    ,   41.78953    ,   514.5941    ,   19.69648    ,   0.000000    ,   536.0548    ,  0.2477417    ,
           1980,              6,   2.255220    ,  0.8009747    ,   59.18555    ,  0.3574126E-01,   58.90250    ,  0.2472832    ,  -60.43640    ,  0.3996064E-01,  0.1662273E-01,  0.7242389E-01,  0.8181111E-03,   0.000000    ,  0.7160578E-01,  0.6438651    ,   0.000000    ,   1.371176    ,   0.000000    ,   0.000000    ,   3.962199    ,   27.23395    ,   31.19615    ,   34.20877    ,   21.23519    ,   55.44397    ,   425.4497    ,   0.000000    ,   425.4497    ,   463.6206    ,   48.46914    ,   512.0898    ,   22.01793    ,   0.000000    ,   536.1229    ,  0.6805420E-01,
           1980,              7,   2.610731    ,  0.8312181    ,   59.26779    ,  0.3767399E-01,   58.90250    ,  0.3275865    ,  -60.56787    ,  0.3555112    ,  0.3024336E-01,  0.8223607E-01,  0.1932741E-02,   0.000000    ,  0.8030333E-01,  0.6360829    ,   0.000000    ,   1.507966    ,   0.000000    ,   0.000000    ,   3.962199    ,   27.46119    ,   31.42339    ,   27.63228    ,   28.85753    ,   56.48981    ,   422.0386    ,   0.000000    ,   422.0386    ,   453.6331    ,   56.31873    ,   509.9518    ,   23.98710    ,   0.000000    ,   536.0830    , -0.3985596E-01,
           1980,              8,   2.869662    ,  0.8533692    ,   59.35662    ,  0.3854918E-01,   58.90250    ,  0.4155494    ,  -60.64233    ,  0.2589306    ,  0.2215106E-01,  0.8883810E-01,  0.8751852E-03,   0.000000    ,  0.8796291E-01,  0.7133524    ,   0.000000    ,   1.776361    ,   0.000000    ,   0.000000    ,   3.962199    ,   27.55036    ,   31.51256    ,   22.44204    ,   35.17710    ,   57.61914    ,   418.9568    ,   0.000000    ,   418.9568    ,   445.3610    ,   62.72746    ,   508.0884    ,   25.68218    ,   0.000000    ,   536.2602    ,  0.1771851    ,
           1980,              9,   3.250151    ,  0.8734485    ,   59.45195    ,  0.3911354E-01,   58.90250    ,  0.5103179    ,  -60.68536    ,  0.3804883    ,  0.2007918E-01,  0.9533280E-01,  0.5643715E-03,   0.000000    ,  0.9476842E-01,  0.7519857    ,   0.000000    ,   2.022113    ,   0.000000    ,   0.000000    ,   3.962199    ,   27.57852    ,   31.54072    ,   16.09519    ,   42.60362    ,   58.69881    ,   416.2059    ,  0.1802022E-02,   416.2077    ,   436.2633    ,   70.18394    ,   506.4473    ,   27.16152    ,   0.000000    ,   536.3829    ,  0.1227417    ,
           1980,             10,   4.039432    ,  0.8978714    ,   59.55305    ,  0.3933065E-01,   58.90250    ,  0.6111975    ,  -60.66962    ,  0.7892806    ,  0.2442267E-01,  0.1010967    ,  0.2171072E-03,   0.000000    ,  0.1008796    ,  0.8987553    ,   0.000000    ,   2.516303    ,   0.000000    ,   0.000000    ,   3.962199    ,   27.58253    ,   31.54473    ,   11.71060    ,   47.92567    ,   59.63626    ,   413.7560    ,  0.4573213E-01,   413.8017    ,   429.4288    ,   75.55393    ,   504.9827    ,   28.47070    ,   0.000000    ,   536.8685    ,  0.4855957    ,
