           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,              1,  0.3183309    ,  0.4343280    ,   57.98447    ,  0.1928407E-02,   57.98254    ,   0.000000    ,  -52.34039    ,  0.3183309    ,  0.4343280    ,   57.98447    ,  0.1928407E-02,   57.98254    ,   0.000000    ,  0.7589582E-01,  0.3215829E-05,  0.3175399E-01,   0.000000    ,   0.000000    ,   18.25008    ,   4.135036    ,   22.38511    ,   61.64193    ,  0.1253650E-04,   61.64194    ,   456.7947    ,   0.000000    ,   456.7947    ,   536.6868    ,   4.135048    ,   540.8218    ,   4.134717    ,   0.000000    ,   545.0640    ,  -52.34039    ,
           1980,              2,  0.7229772    ,  0.6660792    ,   59.85457    ,  0.1631420E-01,   59.83826    ,   0.000000    ,  -57.99896    ,  0.4046463    ,  0.2317511    ,   1.870113    ,  0.1438580E-01,   1.855728    ,   0.000000    ,  0.1917287    ,  0.1188573E-03,  0.1374258    ,   0.000000    ,   0.000000    ,   8.566621    ,   17.24875    ,   25.81538    ,   57.63376    ,  0.2109971    ,   57.84476    ,   442.2149    ,   0.000000    ,   442.2149    ,   508.4153    ,   17.45975    ,   525.8751    ,   9.192993    ,   0.000000    ,   535.3973    ,  -9.666687    ,
           1980,              3,   1.575808    ,  0.7023243    ,   59.85663    ,  0.1838659E-01,   59.83826    ,   0.000000    ,  -59.31299    ,  0.8528313    ,  0.3624517E-01,  0.2072389E-02,  0.2072389E-02,   0.000000    ,   0.000000    ,  0.4667746    ,  0.6151213E-03,  0.6957228    ,   0.000000    ,   0.000000    ,   5.184680    ,   23.94460    ,   29.12928    ,   53.87906    ,   1.164281    ,   55.04334    ,   436.9038    ,   0.000000    ,   436.9038    ,   495.9675    ,   25.10888    ,   521.0764    ,   13.60686    ,   0.000000    ,   535.8465    ,  0.4491577    ,
           1980,              4,   1.829165    ,  0.7263325    ,   59.85715    ,  0.1889822E-01,   59.83826    ,   0.000000    ,  -59.86670    ,  0.2533566    ,  0.2400810E-01,  0.5116308E-03,  0.5116308E-03,   0.000000    ,   0.000000    ,  0.5203432    ,  0.1395522E-05,  0.9437090    ,   0.000000    ,   0.000000    ,   4.250798    ,   26.47773    ,   30.72852    ,   50.61737    ,   3.408472    ,   54.02583    ,   432.7124    ,   0.000000    ,   432.7124    ,   487.5806    ,   29.88620    ,   517.4667    ,   17.10795    ,   0.000000    ,   536.0389    ,  0.1924438    ,
           1980,              5,   3.858193    ,  0.7795643    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.94763    ,   2.029028    ,  0.5323191E-01,  0.7745883E-05,  0.7745883E-05,   0.000000    ,   0.000000    ,  0.9767542    ,   0.000000    ,   1.688942    ,   0.000000    ,   0.000000    ,   4.026602    ,   27.71281    ,   31.73940    ,   47.17440    ,   6.590192    ,   53.76460    ,   428.9633    ,   0.000000    ,   428.9633    ,   480.1644    ,   34.30300    ,   514.4673    ,   20.02320    ,   0.000000    ,   537.1563    ,   1.117371    ,
           1980,              6,   4.062317    ,  0.8109103    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.85400    ,  0.2041246    ,  0.3134606E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.229971    ,   0.000000    ,   2.343276    ,   0.000000    ,   0.000000    ,   4.000000    ,   28.43751    ,   32.43750    ,   42.47089    ,   11.56220    ,   54.03310    ,   425.4434    ,   0.000000    ,   425.4434    ,   471.9143    ,   39.99971    ,   511.9140    ,   22.50360    ,   0.000000    ,   537.9908    ,  0.8344727    ,
           1980,              7,   5.049328    ,  0.8689579    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.72626    ,  0.9870095    ,  0.5804759E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.285051    ,   0.000000    ,   2.761480    ,   0.000000    ,   0.000000    ,   4.000000    ,   28.80277    ,   32.80278    ,   35.75855    ,   19.09020    ,   54.84875    ,   422.0731    ,   0.000000    ,   422.0731    ,   461.8317    ,   47.89297    ,   509.7246    ,   24.63662    ,   0.000000    ,   538.4079    ,  0.4171143    ,
           1980,              8,   5.468134    ,  0.9137917    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.52838    ,  0.4188054    ,  0.4483397E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.455472    ,   0.000000    ,   3.435515    ,   0.000000    ,   0.000000    ,   4.000000    ,   28.97057    ,   32.97057    ,   30.05384    ,   25.85498    ,   55.90883    ,   418.9411    ,   0.000000    ,   418.9411    ,   452.9950    ,   54.82555    ,   507.8205    ,   26.48965    ,   0.000000    ,   539.2012    ,  0.7932739    ,
           1980,              9,   5.770392    ,  0.9484457    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.35059    ,  0.3022580    ,  0.3465419E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.402486    ,   0.000000    ,   3.753875    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.03703    ,   33.03703    ,   22.68197    ,   34.35172    ,   57.03370    ,   416.0786    ,   0.000000    ,   416.0786    ,   442.7606    ,   63.38876    ,   506.1493    ,   28.11917    ,   0.000000    ,   539.4247    ,  0.2235718    ,
           1980,             10,   7.423890    ,  0.9921802    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -59.10388    ,   1.653498    ,  0.4373470E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.630905    ,   0.000000    ,   4.579511    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.05285    ,   33.05285    ,   16.01011    ,   42.08774    ,   58.09785    ,   413.5177    ,   0.000000    ,   413.5177    ,   433.5278    ,   71.14059    ,   504.6684    ,   29.57080    ,   0.000000    ,   540.4496    ,   1.024902    ,
           1980,             11,   7.601045    ,   1.037420    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -58.83881    ,  0.1771557    ,  0.4523931E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.699789    ,   0.000000    ,   5.227941    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.05627    ,   33.05627    ,   12.28194    ,   46.73645    ,   59.01840    ,   411.2550    ,   0.000000    ,   411.2550    ,   427.5369    ,   75.79272    ,   503.3297    ,   30.88113    ,   0.000000    ,   541.1385    ,  0.6888428    ,
           1980,             12,   9.365444    ,   1.162797    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -58.59033    ,   1.764400    ,  0.1253775    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.569215    ,  0.1391119E-01,   5.706175    ,   0.000000    ,   0.000000    ,   4.000192    ,   29.06005    ,   33.06024    ,   10.57575    ,   49.19948    ,   59.77522    ,   409.2731    ,   0.000000    ,   409.2731    ,   423.8490    ,   78.25953    ,   502.1086    ,   32.07769    ,   0.000000    ,   541.4756    ,  0.3371582    ,
           1980,             13,   9.828624    ,   1.222152    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -58.24640    ,  0.4631781    ,  0.5935441E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.774790    ,   0.000000    ,   7.250092    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.06602    ,   33.06602    ,   10.25654    ,   50.18885    ,   60.44539    ,   407.4671    ,  0.8064637E-04,   407.4672    ,   421.7236    ,   79.25496    ,   500.9786    ,   33.17950    ,   0.000000    ,   543.1829    ,   1.707214    ,
           1980,             14,   10.07531    ,   1.281068    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -57.95032    ,  0.2466834    ,  0.5891579E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   1.586741    ,  0.6493987E-05,   7.513977    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.06615    ,   33.06615    ,   10.07878    ,   51.00510    ,   61.08388    ,   405.7432    ,  0.2624197E-01,   405.7694    ,   419.8220    ,   80.09750    ,   499.9195    ,   34.19871    ,   0.000000    ,   543.2189    ,  0.3607178E-01,
           1980,             15,   10.26087    ,   1.369083    ,   59.85716    ,  0.1890597E-01,   59.83826    ,   0.000000    ,  -57.68158    ,  0.1855643    ,  0.8801490E-01,  0.3110397E-08,  0.3110397E-08,   0.000000    ,   0.000000    ,   1.442040    ,  0.4522777E-02,   7.884846    ,   0.000000    ,   0.000000    ,   4.000000    ,   29.06628    ,   33.06628    ,   10.04540    ,   51.65306    ,   61.69845    ,   404.0080    ,  0.1618980    ,   404.1700    ,   418.0534    ,   80.88124    ,   498.9347    ,   35.14423    ,   0.000000    ,   543.4102    ,  0.1912842    ,
