           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,              1,   55.74915    ,   45.81331    ,  0.1681981    ,   238.0375    ,   294.7099    ,  -4.658905    ,   36.08335    ,   17.65379    ,  -64.96874    ,  -8.483490    ,  -6.700043    ,   7.261939    ,  -7.786469    ,   0.000000    , -0.1654053E-01,   1.695953    ,  0.9727478    ,  0.2171321E-02,   1.046028    ,   80555.58    ,
           1980,              2,   38.14185    ,   30.91680    ,  0.1779708    ,   224.7195    ,   278.6735    ,  -8.422791    ,   26.52436    ,   6.769377    ,  -55.62033    ,  -10.86105    ,  -9.734314    ,   7.283827    ,  -8.756744    ,   0.000000    , -0.9003296    ,   1.466217    ,  0.9787292    ,  0.1800902E-02,   1.027820    ,   80447.55    ,
           1980,              3,   46.96201    ,   36.87026    ,  0.2057315    ,   206.7918    ,   258.4533    ,  -13.43066    ,   11.17330    ,   1.130458    ,  -26.13113    ,  -11.44965    ,  -13.81366    ,   7.273361    ,  -10.25223    ,   0.000000    ,  -3.059875    ,   1.521484    ,  0.9854126    ,  0.1629640E-02,   1.130033    ,   79990.01    ,
           1980,              4,   43.82149    ,   34.27277    ,  0.2081822    ,   206.2294    ,   250.1157    ,  -15.55780    ,   14.08596    ,  0.7702641    ,  -24.77172    ,  -15.17392    ,  -16.42166    ,   7.316481    ,  -11.54095    ,   0.000000    ,  -4.724487    ,  0.8813477    ,  0.9921875    ,  0.1233205E-02,   1.025871    ,   80123.12    ,
           1980,              5,   29.95322    ,   22.52923    ,  0.2384881    ,   210.0083    ,   237.5964    ,  -18.77695    ,   19.45789    ,   1.704829    ,  -24.68495    ,  -20.44180    ,  -19.69962    ,   7.362880    ,  -13.53452    ,   0.000000    ,  -5.688904    ,  0.3143616    ,  0.9926758    ,  0.6983772E-03,   1.510172    ,   79963.85    ,
           1980,              6,   43.85399    ,   32.78160    ,  0.2426011    ,   167.6253    ,   214.5361    ,  -25.38957    ,   15.26276    ,   1.004933    ,  -31.45191    ,  -24.81468    ,  -25.97647    ,   7.423546    ,  -18.08958    ,   0.000000    ,  -8.339203    ,  0.1403809E-01,  0.9905396    ,  0.4880920E-03,   1.005452    ,   80219.75    ,
           1980,              7,   36.45253    ,   27.07509    ,  0.2478237    ,   199.9828    ,   227.5059    ,  -21.51720    ,   25.12953    ,   1.860643    ,  -27.56219    ,  -24.11209    ,  -22.70552    ,   7.395839    ,  -14.90695    ,   0.000000    ,  -7.094971    , -0.7995605E-01,  0.9887695    ,  0.4927858E-03,   1.088827    ,   79795.70    ,
           1980,              8,   38.16867    ,   27.76235    ,  0.2641453    ,   175.0974    ,   210.5567    ,  -26.32094    ,   26.06869    ,   1.433855    ,  -33.77259    ,  -29.03755    ,  -27.52464    ,   7.456182    ,  -16.91321    ,   0.000000    ,  -8.265442    , -0.9332275E-01,  0.9852295    ,  0.2852040E-03,   1.046945    ,   79910.27    ,
           1980,              9,   50.49987    ,   36.78148    ,  0.2637831    ,   162.9348    ,   207.7139    ,  -27.23088    ,   25.47397    ,   1.112904    ,  -35.08026    ,  -29.38863    ,  -28.05429    ,   7.408127    ,  -18.53389    ,   0.000000    ,  -8.903748    , -0.2228394    ,  0.9833374    ,  0.3175882E-03,  0.9970150    ,   78560.20    ,
           1980,             10,   37.46778    ,   26.11535    ,  0.2960100    ,   173.0258    ,   207.9139    ,  -27.14308    ,   23.81566    ,   1.406098    ,  -33.34034    ,  -28.90752    ,  -27.97055    ,   7.370987    ,  -18.21581    ,   0.000000    ,  -8.884277    , -0.9158325    ,  0.9775085    ,  0.3277844E-03,   1.078227    ,   77964.27    ,
